song,artist,date
Natzurka,Accordzêam
Perpetuum Mobile,Penguin Cafe Orchestra
The Only Living Boy in New York,Simon & Garfunkel
Ranjha Jogi,Khiza
Teri Deewani (From "Kailasa"),Kailash Kher
Plastic 100°C,Sampha
FanMail,TLC
Imidiwan Ma Tenam - Gypsyphonic / Bobby Mac Remix,Tinariwen
FanMail,TLC
Obvs,Jamie xx
Castle Bard,Brandon Fiechter
I Punched Keanu Reeves,Hello Peril
I Punched Keanu Reeves,Hello Peril
Through the Fire,Chaka Khan
Kingston Town,Alborosie
Marea Baja,Vetusta Morla
Nightcall,London Grammar
...Steel for Humans,Percival
Angie - 2015 Remaster,Bert Jansch
Dil Chahta Hai,Shankar Mahadevan
Jazba-e-Junoon,Junoon
Feather (feat. Cise Starr & Akin from Cyne),Nujabes
Masâr,Le Trio Joubran
Kiwi Maddog 20/20,Elliott Smith
The Man In The Station,John Martyn
Pink + White,Frank Ocean
This Must Be the Place (Naive Melody) - 2005 Remaster,Talking Heads
O Sanam,Lucky Ali
Send Me On My Way,Rusted Root
O Sanam,Lucky Ali
The Ledge - 2015 Remaster,Fleetwood Mac
Chanel,Frank Ocean
The World's Greatest,Bonnie 'Prince' Billy
Jazz (We've Got),A Tribe Called Quest
Sister,Sufjan Stevens
Str8 Outta Mumbai,Jai Paul
Aaj Mausam Bada Beimaan Hai,Mohammed Rafi
Cannonball,Damien Rice
Reel Around the Fountain,James Elkington
Back on the Path,Marcin Przybyłowicz
River Man,Nick Drake
The 59th Street Bridge Song (Feelin' Groovy),Simon & Garfunkel
Aguas da Amazonia: Japurá River,Philip Glass
Torn - Acoustic MTV Unplugged,Natalie Imbruglia
Around the World,Daft Punk
Big Country - Live at the Quick,Béla Fleck and the Flecktones
Take Me to Church,Hozier
Estrellita,Manuel Ponce
Sun City Creeps,Woods
California,Rogue Wave
Ali Maula Ali Maula Ali Dam Dam,Nusrat Fateh Ali Khan
Aïcha Hamdouchia,Hamid El Kasri
California,Rogue Wave
Jackie and Wilson,Hozier
Kuch Kuch Hota Hai,Jatin-Lalit
Pink Moon,Nick Drake
Yeh Jo Des Hai Tera (Instrumental),A.R. Rahman
Kuch Kuch Hota Hai,Jatin-Lalit
Yeh Jo Des Hai Tera (Instrumental),A.R. Rahman
Place to Be,Nick Drake
City Headache,Scott Matthews
Tryton,Стары Ольса
Radha Kaise Na Jale,A.R. Rahman
Pappu Yar,Junoon
The Vagabond,Marcin Przybyłowicz
Blues Run the Game - Studio Outtake - 1965,Simon & Garfunkel
Bamboleo,Jahloul Bouchikhi
Another Round For Everyone,Marcin Przybyłowicz
Niger,Mali Music
A Story You Won't Believe,Marcin Przybyłowicz
Eye Nyam Nam'A'Mensuro - Henrik Schwarz Blend,Ebo Taylor
Definition,Black Star
Respiration,Black Star
Bam Bam,Sister Nancy
Silver for Monsters...,Percival
Hiding My Heart,Adele
Dil Chahta Hai,Shankar Mahadevan
Hiding My Heart,Adele
Shape of You,Ed Sheeran
Aïcha Hamdouchia,Hamid El Kasri
Hypercube,Orchestra Of Spheres
Mountain,The Phoenix Foundation
The Second Line,Clinic
Virginia Reel Around The Fountain,The Halo Benders
Vanessa,Grimes
pine leaves.,JinSang
sunny,J'San
Today Is a Gift,Beowülf
ORANGE,Siny
Set It,Ol' Burger Beats
Sunshine,Seneca B
Strive,Ollie Morris
Send Me On My Way,Rusted Root
Ecstasy,Rusted Root
Drum Trip,Rusted Root
Dwarven Stone Upon Dwarven Stone,Adam Skorupa
Back on the Path,Marcin Przybyłowicz
Make Love,Daft Punk
Mexico,Cake
Homesick,Kings of Convenience
Montezuma,Fleet Foxes
Parachutes,Coldplay
Days Go By - Acoustic,Dirty Vegas
Heartbeats,José González
Only One,Lifehouse
To Be Alone With You,Sufjan Stevens
Beast Of Burden - Remastered,The Rolling Stones
Hallelujah - Live at Benaroya Hall, Seattle, WA - November 2010,Brandi Carlile
Northern Sky,Nick Drake
Delicate,Damien Rice
Rodeo,Lil Nas X
Rodeo,Lil Nas X
New Slang,The Shins
Rain Downpour,Thunderstorm
Rain & Thunder,Thunderstorm Sound Bank
Requiem For John Hurt,John Fahey
Vienna,Matt Costa
All I Really Wanna Do,Holly Palmer
Ed Is A Portal,Akron/Family
Goin' Back,Devendra Banhart
Passing Time,Explosions in the Sky
Loro,Pinback
(I Can't Get No) Satisfaction,Cat Power
All Falls Down,Kanye West
Feel Good Inc.,Gorillaz
What's Love Got to Do With It,Tina Turner
Ragged Wood - Transition Basement Sketch,Fleet Foxes
Chaghaybou,Tinariwen
Tiliaden Osamnat,Tinariwen
Svefn-g-englar,Sigur Rós
Happier,Ed Sheeran
Home,Pacecamp
No Scrubs,TLC
Rootless Tree,Damien Rice
I Am The Walrus - Remastered 2009,The Beatles
Burn - Confession Special Edition Version,Usher
Première Gymnopédie,Erik Satie
Until the Mourning,Da Sein
Samson,Regina Spektor
Her Morning Elegance,Oren Lavie
Talk Show Host,Radiohead
Off The Main Drag,Leif Vollebekk
Spiderwebs,No Doubt
Kelele,Angélique Kidjo
Pain,De La Soul
Kelele,Angélique Kidjo
Things Are Gonna Get Easier,Low Motion Disco
you'r in my head,Moow
being in love with u,TomppaBeats
Be Still & Know,Prosodi J.
1 AM,JinSang
Still Shining,BadSummer
whenever it rains, i feel so free,TomppaBeats
Souvenirs,Dream Koala
Homewards,Mndsgn
Teri Deewani (From "Kailasa"),Kailash Kher
Long Ago & Far Away,Doug Wood
Boom Boom,Nazia Hassan
Ranjha Jogi,Khiza
Mere Mehboob Qayamat Hogi, Pt. 1 (From "Mr. X in Bombay"),Kishore Kumar
Obvs,Jamie xx
Na Tum Jano Na Hum,Lucky Ali
Sya be jab sat chod jae - Tanhai,Nusrat Fateh Ali Khan
Bambro Koyo Ganda,Bonobo
Spiders Crawling Up White Walls Theory
Nevergreen,Emancipator
Senseless,IHF
Imidiwan Ma Tenam - Gypsyphonic / Bobby Mac Remix,Tinariwen
Dil To Pagal Hai,Lata Mangeshkar
FanMail,TLC
Kingston Town,Alborosie
Plastic 100°C,Sampha
Our House,Crosby, Stills, Nash & Young
Marea Baja,Vetusta Morla
Chamber Music,Ballaké Sissoko & Vincent Segal
Duur,Strings
Soul Alphabet,Colleen
Inside River, Pt. 2,Akira Kosemura
301210,Antonymes
Saya,Sona Jobarteh
Chaghaybou,Tinariwen
Alghalem,Terakaft
Tujhe Dekha To,Lata Mangeshkar
Larri Adda,Sajjad Ali
Dekha Hai Aise Bhi,Lucky Ali
Zara Sa Jhoom Loon Main,Asha Bhosle
Didi Tera Devar Deewana (From "Hum Aapke Hain Koun"),Lata Mangeshkar
Show Me,Neil Young
Althea - 2013 Remaster,Grateful Dead
Woke Up Laughing,Robert Palmer
Me And Julio Down By The Schoolyard,Paul Simon
Yesterday - Remastered 2009,The Beatles
'Cello Song,Nick Drake
Bad Moon Rising,Creedence Clearwater Revival
The Kiss - Remastered,Judee Sill
Roll On Babe,Ronnie Lane
An Mataf Germanawen,Etran Finatawa
Green, Green Rocky Road,Dave Van Ronk
Disintegration Anxiety,Explosions in the Sky
This Must Be the Place (Naive Melody) - 2005 Remaster,Talking Heads
Talkin' Bout a Revolution,Tracy Chapman
Serene Thunderstorm in the Distance,Nature Sounds
3D Thunderstorm Sound Binaural Recording for Relaxation,Nature Sounds Nature Music
Serene Thunderstorm in the Distance,Nature Sounds
Discover Relax with a Thunderstorm,Sleep Sounds of Nature
Somtimes A Bad Attitude Is All It Takes,Harris Newman
Johnny's so Long at the Fair,Rob Carr
The Falconer's Arm - Instrumental,Robbie Basho
The Proeletarian Shuffle,Bill Bartels
Electric Relaxation,A Tribe Called Quest
Here Comes The Sun,Richie Havens
A Whole New World - From "Aladdin" / Soundtrack Version,Lea Salonga
The Ends Of The Earth - From "Aladdin"/Score,Alan Menken
A Whole New World - From "Aladdin" / Soundtrack Version,Lea Salonga
A Whole New World,Mena Massoud
Materia Primoris: The X-Files Theme (Main Title),Mark Snow
Fly by Night,Rush
You Ain't Seen Nothing Yet,Bachman-Turner Overdrive
Light Snow,Salvatore Lo Presti
Working for the Weekend,Loverboy
Standing Still - De Umoralske,Joachim Knoph
Limbara's Eye,Roberto Diana
Distance,Michele Nobler
Marea Baja,Vetusta Morla
FanMail,TLC
Marea Baja,Vetusta Morla
Didi Tera Devar Deewana (From "Hum Aapke Hain Koun"),Lata Mangeshkar
Vier Stücke für Xylophon: Gassenhauer nach Hans Neusiedler (1536) für Sopran-, Altxylophon, Castagnetten, kleine Trommel, Schellentrommel und Pauken, Musik für Kinder III, Nr. 15, 1952,Gunild Keetman
I Punched Keanu Reeves,Hello Peril
Alghalem Taxat,Etran Finatawa
I Punched Keanu Reeves,Hello Peril
Outlander Main Title Theme (Skye Boat Song) [feat. Raya Yarbrough],Bear McCreary
Kingston Town,Alborosie
Dil To Pagal Hai,Lata Mangeshkar
Ek Ladki Ko Dekha,Kumar Sanu
Vier Stücke für Xylophon: Gassenhauer nach Hans Neusiedler (1536) für Sopran-, Altxylophon, Castagnetten, kleine Trommel, Schellentrommel und Pauken, Musik für Kinder III, Nr. 15, 1952,Gunild Keetman
Plastic 100°C,Sampha
Our House,Crosby, Stills, Nash & Young
Imidiwan Ma Tenam - Gypsyphonic / Bobby Mac Remix,Tinariwen
Marea Baja,Vetusta Morla
Duur,Strings
FanMail,TLC
Teri Deewani (From "Kailasa"),Kailash Kher
Obvs,Jamie xx
This Must Be the Place (Naive Melody),Talking Heads
They Are Night Zombies!! They Are Neighbors!! They Have Come Back From the Dead!! Ahhhh!,Sufjan Stevens
3rd Rock From the Sun (Theme),Mount Royal Orchestra
Kiwi Maddog 20/20,Elliott Smith
...Steel for Humans,Percival
Masâr,Le Trio Joubran
Dil Chahta Hai,Shankar Mahadevan
Jazba-e-Junoon,Junoon
Feather (feat. Cise Starr & Akin from Cyne),Nujabes
Nightcall,London Grammar
Melody,Serge Gainsbourg
Florida,Luke Temple
Lazy Calm,Cocteau Twins
Our Mutual Friend,The Divine Comedy
Fade Into You,J Mascis
Soweto,Abdullah Ibrahim
Dress Up In You,God Help the Girl
孤独の発明,toe
Russian Lullaby,Jerry Garcia
When You're Smiling And Astride Me,Father John Misty
Clowns,Goldfrapp
While You Were Sleeping,Elvis Perkins
Laughter Is The Best Medicine,Cass McCombs
Laughter Is The Best Medicine,Cass McCombs
In the Kingdom,Mazzy Star
Bum Bum Bum,Cass McCombs
Laughter Is The Best Medicine,Cass McCombs
Flashlight,The Amazing
Feel Like Going Home,Muddy Waters
Rain Plans,Israel Nash Gripka
Andecy,Andrew York
Concerto For 2 Mandolins, Strings And Continuo In G, RV 532: 2. Andante,Antonio Vivaldi
Fralite,The Books
Anemone,The Brian Jonestown Massacre
Goodbye Pork Pie Hat - Live at the Royal Festival Hall 1968 with Intro,Pentangle
Green Arrow,Yo La Tengo
Helplessly Hoping,Crosby, Stills & Nash
Air à Danser,Penguin Cafe Orchestra
Pink + White,Frank Ocean
Small Car,Marvin Pontiac
Bidi Bidi Bom Bom,Selena
The Stable Song,Gregory Alan Isakov
Yeh Jo Des Hai Tera (Instrumental),A.R. Rahman
From the Morning,Nick Drake
Here Comes The Sun - Remastered 2009,The Beatles
Sligo River Blues,John Fahey
Kothbiro,Ayub Ogada
Zara Sa Jhoom Loon Main,Asha Bhosle
Blue Ridge Mountains,Fleet Foxes
Drown,Good Lee
Oh What A World,Rufus Wainwright
Send Me On My Way,Rusted Root
Take Me Home, Country Roads - Rerecorded,John Denver
Renee,Lost Boyz
Yèkèrmo sèw,Mulatu Astatke
The 59th Street Bridge Song (Feelin' Groovy),Simon & Garfunkel
Babylon,Don McLean
Iris,Wim Mertens
Kiwi Maddog 20/20,Elliott Smith
Dass Nain Ki Pyar Wichon Khatia,Lal Chand Yamla Jatt
Ram On - 2012 Remaster,Paul McCartney
Soul,Matchbox Twenty
Can I Kick It?,A Tribe Called Quest
Dekha Hai Aise Bhi,Lucky Ali
Masâr,Le Trio Joubran
Drink Up, There's More!,Percival
...Steel for Humans,Percival
Jazz (We've Got),A Tribe Called Quest
Pink Moon,Nick Drake
Follow the Sun,Xavier Rudd
The Man In The Station,John Martyn
Bistro Fada,Stephane Wrembel
Pyramids,Frank Ocean
Kingston Town,Alborosie
Reel Around the Fountain,James Elkington
Can't Stop,Red Hot Chili Peppers
Like I Can,Sam Smith
Kehna Hi Kya - Bombay / Soundtrack Version,K. S. Chithra
Brothers,City of the Sun
Call It Dreaming,Iron & Wine
Smoke Some Weed,Ice Cube
Lovely Day,Bill Withers
Baby Can I Hold You,Tracy Chapman
The Blower's Daughter,Damien Rice
Homesick,Kings of Convenience
growing up,Lullatone
Warwick Avenue,Duffy
Sunny Came Home,Shawn Colvin
Luka,Suzanne Vega
Power Of Two,Indigo Girls
I Try,Macy Gray
Like a Star,Corinne Bailey Rae
Here Comes The Sun - Remastered 2009,The Beatles
From Here We Can See,Rannar Sillard
Una Noche De Luces,Trevor Kowalski
1.3 Courante,Peter Gregson
The Sun In September,Matthew Halsall
Mother's Love,Emahoy Tsegué-Maryam Guèbrou
L'éléphant,Henri Texier
Sambolero,Luiz Bonfá
Lauren,Men I Trust
falling asleep with a book on your chest (piano version),Lullatone
Aurora en Pekín,Marc Ribot Y Los Cubanos Postizos
The Cascades,Fleet Foxes
Prickly Pear,Portico Quartet
Elyne Road,Toumani Diabaté
Arto,System of a Down
Niger,Mali Music
Spirit of the Forest,Baka Beyond
Wipala,Gonzalo Vargas
Sahara,Rabih Abou-Khalil
Bees,Caribou
The Cascades,Fleet Foxes
How Will I Know,Whitney Houston
Jazba-e-Junoon,Junoon
Feather (feat. Cise Starr & Akin from Cyne),Nujabes
Yaar Bina,Junoon
Imidiwan Ma Tenam - Gypsyphonic / Bobby Mac Remix,Tinariwen
FanMail,TLC
Through the Fire,Chaka Khan
This Must Be the Place (Naive Melody),Talking Heads
Chura Liya Hai Tumne Jo Dil Ko (From "Yaadon Ki Baaraat"),Asha Bhosle
Kingston Town,Alborosie
Our House,Crosby, Stills, Nash & Young
Plastic 100°C,Sampha
Obvs,Jamie xx
An Mataf Germanawen,Etran Finatawa
Outlander Main Title Theme (Skye Boat Song) [feat. Raya Yarbrough],Bear McCreary
An Mataf Germanawen,Etran Finatawa
Diaraby (with Ry Cooder),Ali Farka Touré
falling asleep with a book on your chest (piano version),Lullatone
Ek Ladki Ko Dekha,Kumar Sanu
Teri Deewani (From "Kailasa"),Kailash Kher
Teri Deewani (From "Kailasa"),Kailash Kher
Untitled 1,Ocelote Rojo
Through the Fire,Chaka Khan
Chura Liya Hai Tumne Jo Dil Ko (From "Yaadon Ki Baaraat"),Asha Bhosle
This Is How We Do It,Fresh Mode
Obvs,Jamie xx
I Punched Keanu Reeves,Hello Peril
Diaraby (with Ry Cooder),Ali Farka Touré
I Say a Little Prayer,Aretha Franklin
Chamber Music,Ballaké Sissoko & Vincent Segal
Turn the River: Mandola Theme,Clogs
Aguas da Amazonia: Japurá River,Philip Glass
Rich Man,Vampire Weekend
California Dreamin' - Single Version,The Mamas & the Papas
The A Team,Ed Sheeran
I Say a Little Prayer,Aretha Franklin
Angie - 2015 Remaster,Bert Jansch
Sabotage,Beastie Boys
Follow the Sun,Xavier Rudd
Spirit Bird,Xavier Rudd
Soul,Matchbox Twenty
Lekin Mera Dil,Nazia Hassan
Lekin Mera Dil,Nazia Hassan
That Old Pair Of Jeans,Fatboy Slim
She's Lost Control - 2007 Remaster,Joy Division
That Old Pair Of Jeans,Fatboy Slim
Bam Bam,Sister Nancy
Pink + White,Frank Ocean
Derdj Zidane,Capella De Ministrers
The Man In The Station,John Martyn
Nightcall,London Grammar
Sahib Teri Bandi - Maki Madni,The Derek Trucks Band
The Ledge - 2015 Remaster,Fleetwood Mac
Marea Baja,Vetusta Morla
Angie - 2015 Remaster,Bert Jansch
Baby's on Fire,Die Antwoord
O Sanam,Lucky Ali
Ranjha Jogi,Khiza
Jazba-e-Junoon,Junoon
Feather (feat. Cise Starr & Akin from Cyne),Nujabes
Malembe Malembe,Bonga
Jazz (We've Got),A Tribe Called Quest
The World's Greatest,Bonnie 'Prince' Billy
Nightcall,London Grammar
You Raise Me Up,Josh Groban
The Boxer,Simon & Garfunkel
Nightcall,London Grammar
Pink + White,Frank Ocean
They Are Night Zombies!! They Are Neighbors!! They Have Come Back From the Dead!! Ahhhh!,Sufjan Stevens
The Man In The Station,John Martyn
...Steel for Humans,Percival
You Raise Me Up,Josh Groban
...Steel for Humans,Percival
You Raise Me Up,Josh Groban
The Boxer,Simon & Garfunkel
Nightcall,London Grammar
Nightcall,London Grammar
The Boxer,Simon & Garfunkel
Nightcall,London Grammar
O Sanam,Lucky Ali
Ranjha Jogi,Khiza
Malembe Malembe,Bonga
Jazz (We've Got),A Tribe Called Quest
Immigrant Song - Remaster,Led Zeppelin
Kiwi Maddog 20/20,Elliott Smith
Angie - 2015 Remaster,Bert Jansch
Angie - 2015 Remaster,Bert Jansch
Chanel,Frank Ocean
The World's Greatest,Bonnie 'Prince' Billy
Send Me On My Way,Rusted Root
Dil Chahta Hai,Shankar Mahadevan
The Ledge - 2015 Remaster,Fleetwood Mac
Dil Chahta Hai,Shankar Mahadevan
Jazba-e-Junoon,Junoon
Feather (feat. Cise Starr & Akin from Cyne),Nujabes
The Man In The Station,John Martyn
Nightcall,London Grammar
Bidi Bidi Bom Bom,Selena
Kiwi Maddog 20/20,Elliott Smith
This Must Be the Place (Naive Melody) - 2005 Remaster,Talking Heads
Pink + White,Frank Ocean
...Steel for Humans,Percival
Dil Chahta Hai,Shankar Mahadevan
Isles,Fleet Foxes
Transition,ATELJE
Prickly Pear,Portico Quartet
Chamber Music,Ballaké Sissoko & Vincent Segal
Deep Gap,Marisa Anderson
Doing the Wrong Thing,Kaki King
Ookpik Waltz,Chris Thile
Derdj Zidane,Capella De Ministrers
Fletcher Bay - Instrumental,Harry Pane
The Breaking Of The Fellowship (Feat. "In Dreams"),Howard Shore
Embryonic Journey,Jefferson Airplane
Can't Stop,Red Hot Chili Peppers
Bombtrack,Rage Against the Machine
Sleep Now in the Fire,Rage Against the Machine
Testify,Rage Against the Machine
Guerrilla Radio,Rage Against the Machine
Killing in the Name,Rage Against the Machine
Baby, I Love Your Way,Big Mountain
Blow the Whistle,Too $hort
Back 2 Good,Matchbox Twenty
Push,Matchbox Twenty
3AM,Matchbox Twenty
Long Day,Matchbox Twenty
Real World,Matchbox Twenty
Push,Matchbox Twenty
Eye Nyam Nam'A'Mensuro - Henrik Schwarz Blend,Ebo Taylor
The Man In The Station,John Martyn
Zara Sa Jhoom Loon Main,Asha Bhosle
The Man In The Station,John Martyn
1/1 - Remastered 2004,Brian Eno
Forskjellige Gode Ting,Kim Hiorthøy
2/2 - Remastered 2004,Brian Eno
1/2 - Remastered 2004,Brian Eno
2/1 - Remastered 2004,Brian Eno
Hold On,East Forest
Treefingers,Radiohead
Waterfalls,TLC
La Ladrona,Diego Verdaguer
Penny Lane - Stereo Mix 2017,The Beatles
La Ladrona,Diego Verdaguer
Solo,Frank Ocean
An Mataf Germanawen,Etran Finatawa
Howling Around My Happy Home,Daniel Norgren
Dekha Hai Aise Bhi,Lucky Ali
Dil To Pagal Hai,Lata Mangeshkar
This Is How We Do It,Fresh Mode
Snake Eyes,The Milk Carton Kids
City Headache,Scott Matthews
Snow (Hey Oh),Red Hot Chili Peppers
Shortunga,Hamza El Din
Every Breath You Take,The Police
Mere Rashke Qamar,Rahat Fateh Ali Khan
Aankhain,Strings
